item_id,restaurant_id,cuisine,item_name,category,price,veg_flag,prep_time_min,popularity_score
I0106,R015,North Indian,Paneer Butter Masala,Main Course,220,Veg,20,66
I0107,R015,North Indian,Dal Makhani,Main Course,167,Veg,18,97
I0108,R015,North Indian,Chole Bhature,Main Course,151,Veg,15,97
I0109,R015,North Indian,Kadhai Paneer,Main Course,205,Veg,20,46
I0110,R015,North Indian,Chicken Tikka,Starter,262,Non-Veg,20,46
I0111,R015,North Indian,Paneer Tikka,Starter,209,Veg,18,94
I0112,R015,North Indian,Garlic Naan,Bread,64,Veg,8,79
I0113,R015,North Indian,Jeera Rice,Rice,149,Veg,15,76
I0114,R015,North Indian,Gulab Jamun,Dessert,103,Veg,8,65
I0115,R016,North Indian,Butter Chicken,Main Course,297,Non-Veg,25,81
I0116,R016,North Indian,Paneer Butter Masala,Main Course,240,Veg,20,36
I0117,R016,North Indian,Dal Makhani,Main Course,165,Veg,18,62
I0118,R016,North Indian,Chole Bhature,Main Course,157,Veg,15,61
I0119,R016,North Indian,Kadhai Paneer,Main Course,229,Veg,20,87
I0120,R016,North Indian,Chicken Tikka,Starter,216,Non-Veg,20,75
I0121,R016,North Indian,Paneer Tikka,Starter,203,Veg,18,33
I0122,R016,North Indian,Garlic Naan,Bread,70,Veg,8,42
I0123,R016,North Indian,Jeera Rice,Rice,145,Veg,15,44
I0124,R016,North Indian,Gulab Jamun,Dessert,99,Veg,8,58
I0125,R017,Cafe,Cold Coffee,Beverage,127,Veg,7,61
I0126,R017,Cafe,Cappuccino,Beverage,110,Veg,6,51
I0127,R017,Cafe,Masala Tea,Beverage,65,Veg,5,96
I0128,R017,Cafe,Veg Sandwich,Snack,159,Veg,10,85
I0129,R017,Cafe,Paneer Sandwich,Snack,171,Veg,12,50
I0130,R017,Cafe,Cheese Sandwich,Snack,180,Veg,10,88
I0131,R017,Cafe,Chocolate Brownie,Dessert,171,Veg,10,48
I0132,R017,Cafe,Pasta,Main Course,194,Veg,15,32
I0133,R018,Pizza,Margherita Pizza,Main Course,215,Veg,15,87
I0134,R018,Pizza,Farmhouse Pizza,Main Course,360,Veg,18,44
I0135,R018,Pizza,Paneer Pizza,Main Course,326,Veg,18,64
I0136,R018,Pizza,Chicken Pizza,Main Course,318,Non-Veg,20,54
I0137,R018,Pizza,Pepperoni Pizza,Main Course,410,Non-Veg,20,47
I0138,R018,Pizza,Garlic Bread,Side,156,Veg,10,56
I0139,R018,Pizza,Cheese Burst Pizza,Main Course,411,Veg,20,75
I0140,R019,Momos,Veg Momos,Main Course,114,Veg,10,82
I0141,R019,Momos,Chicken Momos,Main Course,141,Non-Veg,12,56
I0142,R019,Momos,Paneer Momos,Main Course,156,Veg,12,100
I0143,R019,Momos,Fried Momos,Main Course,169,Veg,14,93
I0144,R019,Momos,Chicken Fried Momos,Main Course,185,Non-Veg,15,53
I0145,R019,Momos,Tandoori Momos,Main Course,203,Veg,15,32
I0146,R019,Momos,Chilli Momos,Main Course,161,Veg,14,44
I0147,R020,Chinese,Veg Hakka Noodles,Main Course,163,Veg,15,100
I0148,R020,Chinese,Chicken Hakka Noodles,Main Course,196,Non-Veg,18,38
I0149,R020,Chinese,Veg Fried Rice,Main Course,143,Veg,15,89
I0150,R020,Chinese,Chicken Fried Rice,Main Course,183,Non-Veg,18,31
I0151,R020,Chinese,Chilli Paneer,Starter,209,Veg,15,40
I0152,R020,Chinese,Chilli Chicken,Starter,252,Non-Veg,18,50
I0153,R020,Chinese,Manchurian,Starter,156,Veg,15,93
I0154,R020,Chinese,Spring Rolls,Starter,130,Veg,12,67
I0155,R021,Biryani,Chicken Biryani,Main Course,214,Non-Veg,25,74
I0156,R021,Biryani,Mutton Biryani,Main Course,349,Non-Veg,30,70
I0157,R021,Biryani,Egg Biryani,Main Course,164,Non-Veg,22,80
I0158,R021,Biryani,Paneer Biryani,Main Course,176,Veg,22,46
I0159,R021,Biryani,Veg Biryani,Main Course,148,Veg,20,75
I0160,R021,Biryani,Chicken 65,Starter,196,Non-Veg,18,83
I0161,R021,Biryani,Raita,Side,63,Veg,5,49
I0162,R021,Biryani,Biryani Combo,Combo,276,Non-Veg,28,69
I0163,R022,North Indian,Butter Chicken,Main Course,253,Non-Veg,25,31
I0164,R022,North Indian,Paneer Butter Masala,Main Course,227,Veg,20,59
I0165,R022,North Indian,Dal Makhani,Main Course,163,Veg,18,55
I0166,R022,North Indian,Chole Bhature,Main Course,160,Veg,15,95
I0167,R022,North Indian,Kadhai Paneer,Main Course,240,Veg,20,75
I0168,R022,North Indian,Chicken Tikka,Starter,258,Non-Veg,20,44
I0169,R022,North Indian,Paneer Tikka,Starter,190,Veg,18,73
I0170,R022,North Indian,Garlic Naan,Bread,65,Veg,8,90
I0171,R022,North Indian,Jeera Rice,Rice,140,Veg,15,35
I0172,R022,North Indian,Gulab Jamun,Dessert,94,Veg,8,61
I0173,R023,Burgers,Veg Burger,Main Course,127,Veg,10,37
I0174,R023,Burgers,Paneer Burger,Main Course,193,Veg,12,91
I0175,R023,Burgers,Chicken Burger,Main Course,208,Non-Veg,12,36
I0176,R023,Burgers,Cheese Burger,Main Course,192,Veg,12,33
I0177,R023,Burgers,Double Chicken Burger,Main Course,273,Non-Veg,15,51
I0178,R023,Burgers,French Fries,Side,111,Veg,8,32
I0179,R023,Burgers,Peri Peri Fries,Side,118,Veg,8,89
I0180,R024,North Indian,Butter Chicken,Main Course,303,Non-Veg,25,41
I0181,R024,North Indian,Paneer Butter Masala,Main Course,212,Veg,20,42
I0182,R024,North Indian,Dal Makhani,Main Course,184,Veg,18,48
I0183,R024,North Indian,Chole Bhature,Main Course,183,Veg,15,74
I0184,R024,North Indian,Kadhai Paneer,Main Course,199,Veg,20,82
I0185,R024,North Indian,Chicken Tikka,Starter,256,Non-Veg,20,80
I0186,R024,North Indian,Paneer Tikka,Starter,188,Veg,18,99
I0187,R024,North Indian,Garlic Naan,Bread,76,Veg,8,51
I0188,R024,North Indian,Jeera Rice,Rice,128,Veg,15,85
I0189,R024,North Indian,Gulab Jamun,Dessert,103,Veg,8,32
I0190,R025,Healthy,Veg Salad Bowl,Healthy,166,Veg,10,64
I0191,R025,Healthy,Chicken Salad Bowl,Healthy,220,Non-Veg,12,83
I0192,R025,Healthy,Paneer Bowl,Healthy,200,Veg,12,36
I0193,R025,Healthy,Grilled Chicken Bowl,Healthy,264,Non-Veg,18,60
I0194,R025,Healthy,Fruit Bowl,Healthy,151,Veg,8,53
I0195,R025,Healthy,Protein Smoothie,Beverage,181,Veg,8,33
I0196,R025,Healthy,Oats Bowl,Breakfast,152,Veg,10,49
I0197,R026,North Indian,Butter Chicken,Main Course,287,Non-Veg,25,79
I0198,R026,North Indian,Paneer Butter Masala,Main Course,246,Veg,20,65
I0199,R026,North Indian,Dal Makhani,Main Course,163,Veg,18,95
I0200,R026,North Indian,Chole Bhature,Main Course,168,Veg,15,65
I0201,R026,North Indian,Kadhai Paneer,Main Course,211,Veg,20,71
I0202,R026,North Indian,Chicken Tikka,Starter,276,Non-Veg,20,87
I0203,R026,North Indian,Paneer Tikka,Starter,226,Veg,18,41
I0204,R026,North Indian,Garlic Naan,Bread,70,Veg,8,47
I0205,R026,North Indian,Jeera Rice,Rice,138,Veg,15,44
I0206,R026,North Indian,Gulab Jamun,Dessert,86,Veg,8,55
I0207,R027,North Indian,Butter Chicken,Main Course,302,Non-Veg,25,71
I0208,R027,North Indian,Paneer Butter Masala,Main Course,211,Veg,20,31
I0209,R027,North Indian,Dal Makhani,Main Course,170,Veg,18,98
I0210,R027,North Indian,Chole Bhature,Main Course,147,Veg,15,70
I0211,R027,North Indian,Kadhai Paneer,Main Course,202,Veg,20,89
I0212,R027,North Indian,Chicken Tikka,Starter,240,Non-Veg,20,43
I0213,R027,North Indian,Paneer Tikka,Starter,206,Veg,18,31
I0214,R027,North Indian,Garlic Naan,Bread,65,Veg,8,46
I0215,R027,North Indian,Jeera Rice,Rice,130,Veg,15,57
I0216,R027,North Indian,Gulab Jamun,Dessert,87,Veg,8,34
I0217,R028,Chinese,Veg Hakka Noodles,Main Course,157,Veg,15,69
I0218,R028,Chinese,Chicken Hakka Noodles,Main Course,220,Non-Veg,18,65
I0219,R028,Chinese,Veg Fried Rice,Main Course,171,Veg,15,76
I0220,R028,Chinese,Chicken Fried Rice,Main Course,192,Non-Veg,18,39
I0221,R028,Chinese,Chilli Paneer,Starter,174,Veg,15,43
I0222,R028,Chinese,Chilli Chicken,Starter,216,Non-Veg,18,39
I0223,R028,Chinese,Manchurian,Starter,181,Veg,15,30
I0224,R028,Chinese,Spring Rolls,Starter,132,Veg,12,37
I0225,R029,Chinese,Veg Hakka Noodles,Main Course,169,Veg,15,30
I0226,R029,Chinese,Chicken Hakka Noodles,Main Course,202,Non-Veg,18,57
I0227,R029,Chinese,Veg Fried Rice,Main Course,136,Veg,15,66
I0228,R029,Chinese,Chicken Fried Rice,Main Course,198,Non-Veg,18,66
I0229,R029,Chinese,Chilli Paneer,Starter,208,Veg,15,73
I0230,R029,Chinese,Chilli Chicken,Starter,223,Non-Veg,18,35
I0231,R029,Chinese,Manchurian,Starter,162,Veg,15,90
I0232,R029,Chinese,Spring Rolls,Starter,118,Veg,12,31
I0233,R030,South Indian,Masala Dosa,Main Course,112,Veg,12,66
I0234,R030,South Indian,Plain Dosa,Main Course,102,Veg,10,58
I0235,R030,South Indian,Idli Sambar,Main Course,95,Veg,10,64
I0236,R030,South Indian,Vada Sambar,Main Course,101,Veg,10,88
I0237,R030,South Indian,Paneer Dosa,Main Course,147,Veg,14,80
I0238,R030,South Indian,Uttapam,Main Course,109,Veg,12,49
I0239,R030,South Indian,Filter Coffee,Beverage,80,Veg,5,72
I0240,R031,Momos,Veg Momos,Main Course,109,Veg,10,79
I0241,R031,Momos,Chicken Momos,Main Course,171,Non-Veg,12,68
I0242,R031,Momos,Paneer Momos,Main Course,142,Veg,12,72
I0243,R031,Momos,Fried Momos,Main Course,164,Veg,14,73
I0244,R031,Momos,Chicken Fried Momos,Main Course,196,Non-Veg,15,52
I0245,R031,Momos,Tandoori Momos,Main Course,163,Veg,15,74
I0246,R031,Momos,Chilli Momos,Main Course,159,Veg,14,79
I0247,R032,Burgers,Veg Burger,Main Course,124,Veg,10,37
I0248,R032,Burgers,Paneer Burger,Main Course,194,Veg,12,30
I0249,R032,Burgers,Chicken Burger,Main Course,206,Non-Veg,12,58
I0250,R032,Burgers,Cheese Burger,Main Course,182,Veg,12,34
I0251,R032,Burgers,Double Chicken Burger,Main Course,297,Non-Veg,15,76
I0252,R032,Burgers,French Fries,Side,118,Veg,8,84
I0253,R032,Burgers,Peri Peri Fries,Side,149,Veg,8,72
I0254,R033,North Indian,Butter Chicken,Main Course,300,Non-Veg,25,46
I0255,R033,North Indian,Paneer Butter Masala,Main Course,244,Veg,20,76
I0256,R033,North Indian,Dal Makhani,Main Course,188,Veg,18,75
I0257,R033,North Indian,Chole Bhature,Main Course,181,Veg,15,30
I0258,R033,North Indian,Kadhai Paneer,Main Course,200,Veg,20,43
I0259,R033,North Indian,Chicken Tikka,Starter,240,Non-Veg,20,98
I0260,R033,North Indian,Paneer Tikka,Starter,209,Veg,18,91
I0261,R033,North Indian,Garlic Naan,Bread,75,Veg,8,93
I0262,R033,North Indian,Jeera Rice,Rice,119,Veg,15,62
I0263,R033,North Indian,Gulab Jamun,Dessert,90,Veg,8,77
I0264,R034,North Indian,Butter Chicken,Main Course,305,Non-Veg,25,60
I0265,R034,North Indian,Paneer Butter Masala,Main Course,239,Veg,20,97
I0266,R034,North Indian,Dal Makhani,Main Course,191,Veg,18,33
I0267,R034,North Indian,Chole Bhature,Main Course,171,Veg,15,99
I0268,R034,North Indian,Kadhai Paneer,Main Course,236,Veg,20,42
I0269,R034,North Indian,Chicken Tikka,Starter,264,Non-Veg,20,30
I0270,R034,North Indian,Paneer Tikka,Starter,186,Veg,18,83
I0271,R034,North Indian,Garlic Naan,Bread,74,Veg,8,44
I0272,R034,North Indian,Jeera Rice,Rice,137,Veg,15,100
I0273,R034,North Indian,Gulab Jamun,Dessert,94,Veg,8,48
I0274,R035,Biryani,Chicken Biryani,Main Course,219,Non-Veg,25,62
I0275,R035,Biryani,Mutton Biryani,Main Course,307,Non-Veg,30,64
I0276,R035,Biryani,Egg Biryani,Main Course,172,Non-Veg,22,40
I0277,R035,Biryani,Paneer Biryani,Main Course,200,Veg,22,95
I0278,R035,Biryani,Veg Biryani,Main Course,163,Veg,20,32
I0279,R035,Biryani,Chicken 65,Starter,217,Non-Veg,18,77
I0280,R035,Biryani,Raita,Side,67,Veg,5,57
I0281,R035,Biryani,Biryani Combo,Combo,254,Non-Veg,28,55
I0282,R036,Chinese,Veg Hakka Noodles,Main Course,148,Veg,15,34
I0283,R036,Chinese,Chicken Hakka Noodles,Main Course,210,Non-Veg,18,66
I0284,R036,Chinese,Veg Fried Rice,Main Course,144,Veg,15,44
I0285,R036,Chinese,Chicken Fried Rice,Main Course,200,Non-Veg,18,99
I0286,R036,Chinese,Chilli Paneer,Starter,206,Veg,15,72
I0287,R036,Chinese,Chilli Chicken,Starter,199,Non-Veg,18,52
I0288,R036,Chinese,Manchurian,Starter,171,Veg,15,76
I0289,R036,Chinese,Spring Rolls,Starter,119,Veg,12,44
I0290,R037,Burgers,Veg Burger,Main Course,125,Veg,10,80
I0291,R037,Burgers,Paneer Burger,Main Course,156,Veg,12,50
I0292,R037,Burgers,Chicken Burger,Main Course,194,Non-Veg,12,48
I0293,R037,Burgers,Cheese Burger,Main Course,167,Veg,12,97
I0294,R037,Burgers,Double Chicken Burger,Main Course,251,Non-Veg,15,81
I0295,R037,Burgers,French Fries,Side,117,Veg,8,58
I0296,R037,Burgers,Peri Peri Fries,Side,143,Veg,8,64
I0297,R038,Cafe,Cold Coffee,Beverage,136,Veg,7,65
I0298,R038,Cafe,Cappuccino,Beverage,130,Veg,6,31
I0299,R038,Cafe,Masala Tea,Beverage,68,Veg,5,33
I0300,R038,Cafe,Veg Sandwich,Snack,155,Veg,10,36
I0301,R038,Cafe,Paneer Sandwich,Snack,182,Veg,12,68
I0302,R038,Cafe,Cheese Sandwich,Snack,165,Veg,10,100
I0303,R038,Cafe,Chocolate Brownie,Dessert,146,Veg,10,71
I0304,R038,Cafe,Pasta,Main Course,189,Veg,15,85
I0305,R039,South Indian,Masala Dosa,Main Course,137,Veg,12,97
I0306,R039,South Indian,Plain Dosa,Main Course,83,Veg,10,83
I0307,R039,South Indian,Idli Sambar,Main Course,93,Veg,10,74
I0308,R039,South Indian,Vada Sambar,Main Course,106,Veg,10,42
I0309,R039,South Indian,Paneer Dosa,Main Course,158,Veg,14,50
I0310,R039,South Indian,Uttapam,Main Course,135,Veg,12,38
I0311,R039,South Indian,Filter Coffee,Beverage,77,Veg,5,44
I0312,R040,Momos,Veg Momos,Main Course,126,Veg,10,71
I0313,R040,Momos,Chicken Momos,Main Course,169,Non-Veg,12,78
I0314,R040,Momos,Paneer Momos,Main Course,134,Veg,12,66
I0315,R040,Momos,Fried Momos,Main Course,156,Veg,14,53
I0316,R040,Momos,Chicken Fried Momos,Main Course,210,Non-Veg,15,89
I0317,R040,Momos,Tandoori Momos,Main Course,192,Veg,15,47
I0318,R040,Momos,Chilli Momos,Main Course,186,Veg,14,84
I0319,R041,Pizza,Margherita Pizza,Main Course,230,Veg,15,76
I0320,R041,Pizza,Farmhouse Pizza,Main Course,307,Veg,18,62
I0321,R041,Pizza,Paneer Pizza,Main Course,286,Veg,18,51
I0322,R041,Pizza,Chicken Pizza,Main Course,317,Non-Veg,20,44
I0323,R041,Pizza,Pepperoni Pizza,Main Course,364,Non-Veg,20,100
I0324,R041,Pizza,Garlic Bread,Side,145,Veg,10,39
I0325,R041,Pizza,Cheese Burst Pizza,Main Course,347,Veg,20,86
I0326,R042,Momos,Veg Momos,Main Course,123,Veg,10,31
I0327,R042,Momos,Chicken Momos,Main Course,145,Non-Veg,12,36
I0328,R042,Momos,Paneer Momos,Main Course,150,Veg,12,96
I0329,R042,Momos,Fried Momos,Main Course,162,Veg,14,68
I0330,R042,Momos,Chicken Fried Momos,Main Course,205,Non-Veg,15,53
I0331,R042,Momos,Tandoori Momos,Main Course,168,Veg,15,48
I0332,R042,Momos,Chilli Momos,Main Course,179,Veg,14,71
I0333,R043,Healthy,Veg Salad Bowl,Healthy,203,Veg,10,65
I0334,R043,Healthy,Chicken Salad Bowl,Healthy,212,Non-Veg,12,65
I0335,R043,Healthy,Paneer Bowl,Healthy,209,Veg,12,37
I0336,R043,Healthy,Grilled Chicken Bowl,Healthy,258,Non-Veg,18,99
I0337,R043,Healthy,Fruit Bowl,Healthy,148,Veg,8,97
I0338,R043,Healthy,Protein Smoothie,Beverage,182,Veg,8,89
I0339,R043,Healthy,Oats Bowl,Breakfast,128,Veg,10,34
I0340,R044,North Indian,Butter Chicken,Main Course,257,Non-Veg,25,61
I0341,R044,North Indian,Paneer Butter Masala,Main Course,228,Veg,20,79
I0342,R044,North Indian,Dal Makhani,Main Course,193,Veg,18,73
I0343,R044,North Indian,Chole Bhature,Main Course,157,Veg,15,32
I0344,R044,North Indian,Kadhai Paneer,Main Course,199,Veg,20,31
I0345,R044,North Indian,Chicken Tikka,Starter,276,Non-Veg,20,31
I0346,R044,North Indian,Paneer Tikka,Starter,198,Veg,18,64
I0347,R044,North Indian,Garlic Naan,Bread,76,Veg,8,59
I0348,R044,North Indian,Jeera Rice,Rice,128,Veg,15,51
I0349,R044,North Indian,Gulab Jamun,Dessert,94,Veg,8,65
I0350,R045,South Indian,Masala Dosa,Main Course,137,Veg,12,60
I0351,R045,South Indian,Plain Dosa,Main Course,98,Veg,10,84
I0352,R045,South Indian,Idli Sambar,Main Course,93,Veg,10,91
I0353,R045,South Indian,Vada Sambar,Main Course,101,Veg,10,84
I0354,R045,South Indian,Paneer Dosa,Main Course,163,Veg,14,46
I0355,R045,South Indian,Uttapam,Main Course,117,Veg,12,37
I0356,R045,South Indian,Filter Coffee,Beverage,77,Veg,5,45
I0357,R046,Healthy,Veg Salad Bowl,Healthy,179,Veg,10,52
I0358,R046,Healthy,Chicken Salad Bowl,Healthy,230,Non-Veg,12,34
I0359,R046,Healthy,Paneer Bowl,Healthy,239,Veg,12,94
I0360,R046,Healthy,Grilled Chicken Bowl,Healthy,289,Non-Veg,18,50
I0361,R046,Healthy,Fruit Bowl,Healthy,138,Veg,8,51
I0362,R046,Healthy,Protein Smoothie,Beverage,166,Veg,8,61
I0363,R046,Healthy,Oats Bowl,Breakfast,130,Veg,10,45
I0364,R047,Burgers,Veg Burger,Main Course,133,Veg,10,43
I0365,R047,Burgers,Paneer Burger,Main Course,158,Veg,12,52
I0366,R047,Burgers,Chicken Burger,Main Course,183,Non-Veg,12,95
I0367,R047,Burgers,Cheese Burger,Main Course,179,Veg,12,31
I0368,R047,Burgers,Double Chicken Burger,Main Course,295,Non-Veg,15,94
I0369,R047,Burgers,French Fries,Side,107,Veg,8,81
I0370,R047,Burgers,Peri Peri Fries,Side,126,Veg,8,55
I0371,R048,Pizza,Margherita Pizza,Main Course,231,Veg,15,84
I0372,R048,Pizza,Farmhouse Pizza,Main Course,301,Veg,18,51
I0373,R048,Pizza,Paneer Pizza,Main Course,307,Veg,18,89
I0374,R048,Pizza,Chicken Pizza,Main Course,389,Non-Veg,20,41
I0375,R048,Pizza,Pepperoni Pizza,Main Course,430,Non-Veg,20,71
I0376,R048,Pizza,Garlic Bread,Side,145,Veg,10,74
I0377,R048,Pizza,Cheese Burst Pizza,Main Course,358,Veg,20,59
I0378,R049,Chinese,Veg Hakka Noodles,Main Course,173,Veg,15,96
I0379,R049,Chinese,Chicken Hakka Noodles,Main Course,230,Non-Veg,18,81
I0380,R049,Chinese,Veg Fried Rice,Main Course,166,Veg,15,44
I0381,R049,Chinese,Chicken Fried Rice,Main Course,200,Non-Veg,18,95
I0382,R049,Chinese,Chilli Paneer,Starter,178,Veg,15,64
I0383,R049,Chinese,Chilli Chicken,Starter,217,Non-Veg,18,49
I0384,R049,Chinese,Manchurian,Starter,177,Veg,15,39
I0385,R049,Chinese,Spring Rolls,Starter,144,Veg,12,54
