order_id,customer_id,locality_id,customer_segment,preferred_cuisine,order_date,order_time,restaurant_id,item_id,platform,order_status,customer_rating,item_price,discount_pct,discount_amount,food_amount,delivery_fee,order_value,year,month,month_name,day_of_week,day_name,is_weekend,order_hour,meal_period,item_name,ordered_cuisine,category,veg_flag,price_band
O000011,C00107,3,Working Professional,North Indian,2025-01-08,07:36:00,R054,I0417,Zomato,Delivered,5.0,113,30,33.9,79.1,20,99.1,2025,1,January,2,Wednesday,No,7,Breakfast,Masala Dosa,South Indian,Main Course,Veg,Below 100
O000012,C04849,8,Student,Chinese,2025-12-20,23:44:00,R123,I0950,Swiggy,Delivered,4.0,144,10,14.4,129.6,40,169.6,2025,12,December,5,Saturday,Yes,23,Dinner,Oats Bowl,Healthy,Breakfast,Veg,150-200
O000013,C04158,9,Family,Pizza,2025-10-31,21:08:00,R143,I1106,Direct,Delivered,4.0,126,25,31.5,94.5,35,129.5,2025,10,October,4,Friday,No,21,Dinner,Garlic Bread,Pizza,Side,Veg,100-150
O000014,C01049,2,Student,Momos,2025-03-19,12:16:00,R078,I0602,Swiggy,Delivered,3.0,155,40,62.0,93.0,25,118.0,2025,3,March,2,Wednesday,No,12,Lunch,Paneer Momos,Momos,Main Course,Veg,100-150
O000015,C00898,8,Student,Biryani,2025-03-08,12:34:00,R055,I0425,Zomato,Cancelled,,291,5,14.55,276.45,25,301.45,2025,3,March,5,Saturday,Yes,12,Lunch,Mutton Biryani,Biryani,Main Course,Non-Veg,300+
O000016,C00907,9,Working Professional,Healthy,2025-03-08,12:58:00,R118,I0908,Swiggy,Delivered,3.0,294,15,44.1,249.9,25,274.9,2025,3,March,5,Saturday,Yes,12,Lunch,Paneer Pizza,Pizza,Main Course,Veg,250-300
O000017,C01488,9,Young Professional,Momos,2025-04-21,13:51:00,R008,I0056,Zomato,Delivered,4.0,172,25,43.0,129.0,25,154.0,2025,4,April,0,Monday,No,13,Lunch,Egg Biryani,Biryani,Main Course,Non-Veg,150-200
O000018,C02593,10,Working Professional,Pizza,2025-07-11,17:17:00,R023,I0176,Zomato,Delivered,2.0,192,15,28.8,163.2,30,193.2,2025,7,July,4,Friday,No,17,Evening,Cheese Burger,Burgers,Main Course,Veg,150-200
O000019,C02131,10,Student,Burgers,2025-06-07,15:24:00,R096,I0740,Swiggy,Delivered,3.0,267,25,66.75,200.25,30,230.25,2025,6,June,5,Saturday,Yes,15,Lunch,Grilled Chicken Bowl,Healthy,Healthy,Non-Veg,200-250
O000020,C01428,9,Working Professional,Healthy,2025-04-17,13:58:00,R037,I0292,Zomato,Delivered,4.0,194,10,19.4,174.6,25,199.6,2025,4,April,3,Thursday,No,13,Lunch,Chicken Burger,Burgers,Main Course,Non-Veg,150-200
O000021,C03030,7,Family,Desserts,2025-08-12,19:14:00,R142,I1097,Direct,Delivered,4.0,171,10,17.1,153.9,30,183.9,2025,8,August,1,Tuesday,No,19,Dinner,Veg Biryani,Biryani,Main Course,Veg,150-200
O000022,C00684,10,Family,Pizza,2025-02-21,11:22:00,R065,I0500,Zomato,Delivered,4.0,150,0,0.0,150.0,20,170.0,2025,2,February,4,Friday,No,11,Breakfast,Brownie,Desserts,Dessert,Veg,150-200
O000023,C01431,9,Working Professional,Momos,2025-04-17,13:00:00,R068,I0524,Zomato,Delivered,3.0,138,15,20.7,117.3,25,142.3,2025,4,April,3,Thursday,No,13,Lunch,Chicken Momos,Momos,Main Course,Non-Veg,100-150
O000024,C01806,4,Family,Biryani,2025-05-14,14:40:00,R096,I0739,Swiggy,Delivered,4.0,247,25,61.75,185.25,25,210.25,2025,5,May,2,Wednesday,No,14,Lunch,Paneer Bowl,Healthy,Healthy,Veg,200-250
O000025,C02247,9,Working Professional,Biryani,2025-06-16,16:37:00,R114,I0877,Swiggy,Delivered,5.0,193,0,0.0,193.0,30,223.0,2025,6,June,0,Monday,No,16,Evening,Paneer Biryani,Biryani,Main Course,Veg,200-250
O000026,C03915,1,Family,Biryani,2025-10-14,21:17:00,R080,I0620,Swiggy,Delivered,4.0,163,5,8.15,154.85,35,189.85,2025,10,October,1,Tuesday,No,21,Dinner,Chocolate Mousse,Desserts,Dessert,Veg,150-200
O000027,C00994,8,Working Professional,Chinese,2025-03-14,12:00:00,R036,I0283,Zomato,Delivered,3.0,210,30,63.0,147.0,25,172.0,2025,3,March,4,Friday,No,12,Lunch,Chicken Hakka Noodles,Chinese,Main Course,Non-Veg,150-200
O000028,C02539,6,Young Professional,North Indian,2025-07-07,17:53:00,R125,I0962,Swiggy,Delivered,3.0,182,15,27.3,154.7,30,184.7,2025,7,July,0,Monday,No,17,Evening,Veg Biryani,Biryani,Main Course,Veg,150-200
O000029,C02938,8,Working Professional,Cafe,2025-08-05,19:38:00,R045,I0353,Zomato,Cancelled,,101,15,15.15,85.85,30,115.85,2025,8,August,1,Tuesday,No,19,Dinner,Vada Sambar,South Indian,Main Course,Veg,100-150
O000030,C00233,2,Family,Biryani,2025-01-18,08:09:00,R024,I0180,Zomato,Delivered,4.0,303,40,121.2,181.8,20,201.8,2025,1,January,5,Saturday,Yes,8,Breakfast,Butter Chicken,North Indian,Main Course,Non-Veg,200-250
O000031,C03006,2,Working Professional,Biryani,2025-08-10,19:30:00,R079,I0610,Swiggy,Delivered,5.0,142,30,42.6,99.4,30,129.4,2025,8,August,6,Sunday,Yes,19,Dinner,Veg Sandwich,Cafe,Snack,Veg,100-150
O000032,C00837,6,Student,Chinese,2025-03-04,11:37:00,R019,I0140,Zomato,Delivered,3.0,114,30,34.2,79.8,25,104.8,2025,3,March,1,Tuesday,No,11,Breakfast,Veg Momos,Momos,Main Course,Veg,100-150
O000033,C00317,3,Young Professional,Chinese,2025-01-24,09:06:00,R139,I1066,Direct,Delivered,5.0,263,10,26.3,236.7,20,256.7,2025,1,January,4,Friday,No,9,Breakfast,Butter Chicken,North Indian,Main Course,Non-Veg,250-300
O000034,C04744,2,Student,Biryani,2025-12-13,23:37:00,R079,I0614,Swiggy,Delivered,4.0,205,30,61.5,143.5,40,183.5,2025,12,December,5,Saturday,Yes,23,Dinner,Pasta,Cafe,Main Course,Veg,150-200
O000035,C04827,5,Family,North Indian,2025-12-19,23:07:00,R146,I1135,Direct,Cancelled,,95,30,28.5,66.5,40,106.5,2025,12,December,4,Friday,No,23,Dinner,Gulab Jamun,North Indian,Dessert,Veg,100-150
O000036,C04037,4,Young Professional,Cafe,2025-10-23,21:33:00,R053,I0414,Zomato,Delivered,3.0,93,30,27.9,65.1,35,100.1,2025,10,October,3,Thursday,No,21,Dinner,Ice Cream,Desserts,Dessert,Veg,100-150
O000037,C01491,2,Working Professional,Biryani,2025-04-22,13:08:00,R144,I1109,Direct,Delivered,3.0,297,40,118.8,178.2,25,203.2,2025,4,April,1,Tuesday,No,13,Lunch,Mutton Biryani,Biryani,Main Course,Non-Veg,200-250
O000038,C00477,4,Working Professional,Biryani,2025-02-05,09:24:00,R025,I0190,Zomato,Delivered,5.0,166,30,49.8,116.2,20,136.2,2025,2,February,2,Wednesday,No,9,Breakfast,Veg Salad Bowl,Healthy,Healthy,Veg,100-150
O000039,C03402,3,Family,North Indian,2025-09-07,20:26:00,R007,I0050,Zomato,Delivered,4.0,219,15,32.85,186.15,30,216.15,2025,9,September,6,Sunday,Yes,20,Dinner,Paneer Tikka,North Indian,Starter,Veg,200-250
O000040,C02174,5,Working Professional,South Indian,2025-06-10,15:40:00,R005,I0032,Zomato,Delivered,4.0,179,0,0.0,179.0,30,209.0,2025,6,June,1,Tuesday,No,15,Lunch,Chocolate Cake,Desserts,Dessert,Veg,200-250
O000041,C00584,6,Working Professional,Biryani,2025-02-14,10:06:00,R061,I0471,Swiggy,Delivered,4.0,310,40,124.0,186.0,20,206.0,2025,2,February,4,Friday,No,10,Breakfast,Mutton Biryani,Biryani,Main Course,Non-Veg,200-250
O000042,C02453,3,Family,North Indian,2025-06-30,17:31:00,R014,I0102,Zomato,Delivered,4.0,353,0,0.0,353.0,30,383.0,2025,6,June,0,Monday,No,17,Evening,Pepperoni Pizza,Pizza,Main Course,Non-Veg,300+
O000043,C00177,1,Student,Chinese,2025-01-13,08:08:00,R088,I0678,Swiggy,Delivered,3.0,96,20,19.2,76.8,20,96.8,2025,1,January,0,Monday,No,8,Breakfast,Gulab Jamun,Desserts,Dessert,Veg,Below 100
O000044,C04554,4,Young Professional,Biryani,2025-11-28,22:16:00,R056,I0438,Zomato,Delivered,3.0,398,25,99.5,298.5,40,338.5,2025,11,November,4,Friday,No,22,Dinner,Cheese Burst Pizza,Pizza,Main Course,Veg,300+
O000045,C01269,2,Working Professional,Desserts,2025-04-05,13:34:00,R047,I0366,Zomato,Delivered,3.0,183,25,45.75,137.25,25,162.25,2025,4,April,5,Saturday,Yes,13,Lunch,Chicken Burger,Burgers,Main Course,Non-Veg,150-200
O000046,C03292,10,Working Professional,Pizza,2025-08-30,20:47:00,R096,I0741,Swiggy,Delivered,5.0,169,25,42.25,126.75,30,156.75,2025,8,August,5,Saturday,Yes,20,Dinner,Fruit Bowl,Healthy,Healthy,Veg,150-200
O000047,C01528,2,Student,Biryani,2025-04-24,13:15:00,R021,I0157,Zomato,Delivered,4.0,164,20,32.8,131.2,25,156.2,2025,4,April,3,Thursday,No,13,Lunch,Egg Biryani,Biryani,Main Course,Non-Veg,150-200
O000048,C02571,5,Family,Desserts,2025-07-09,17:01:00,R109,I0838,Swiggy,Failed,,174,10,17.4,156.6,30,186.6,2025,7,July,2,Wednesday,No,17,Evening,Chocolate Cake,Desserts,Dessert,Veg,150-200
O000049,C02715,6,Working Professional,Healthy,2025-07-19,18:42:00,R086,I0667,Swiggy,Delivered,4.0,187,25,46.75,140.25,30,170.25,2025,7,July,5,Saturday,Yes,18,Evening,Cheese Burger,Burgers,Main Course,Veg,150-200
O000050,C00916,5,Young Professional,Biryani,2025-03-09,12:30:00,R137,I1053,Direct,Failed,,153,40,61.2,91.8,25,116.8,2025,3,March,6,Sunday,Yes,12,Lunch,Veg Fried Rice,Chinese,Main Course,Veg,100-150
O000051,C04847,10,Student,North Indian,2025-12-20,23:15:00,R060,I0469,Zomato,Delivered,3.0,259,20,51.8,207.2,40,247.2,2025,12,December,5,Saturday,Yes,23,Dinner,Biryani Combo,Biryani,Combo,Non-Veg,200-250
O000052,C03866,3,Working Professional,South Indian,2025-10-10,21:46:00,R145,I1123,Direct,Failed,,75,0,0.0,75.0,35,110.0,2025,10,October,4,Friday,No,21,Dinner,Garlic Naan,North Indian,Bread,Veg,100-150
O000053,C04695,10,Family,Pizza,2025-12-09,22:32:00,R082,I0638,Swiggy,Delivered,4.0,84,15,12.6,71.4,40,111.4,2025,12,December,1,Tuesday,No,22,Dinner,Gulab Jamun,North Indian,Dessert,Veg,100-150
O000054,C04477,10,Young Professional,Pizza,2025-11-23,22:20:00,R141,I1091,Direct,Delivered,3.0,109,10,10.9,98.1,35,133.1,2025,11,November,6,Sunday,Yes,22,Dinner,French Fries,Burgers,Side,Veg,100-150
O000055,C02963,1,Working Professional,Healthy,2025-08-07,19:16:00,R007,I0049,Zomato,Delivered,3.0,229,15,34.35,194.65,30,224.65,2025,8,August,3,Thursday,No,19,Dinner,Chicken Tikka,North Indian,Starter,Non-Veg,200-250
O000056,C04612,3,Student,Chinese,2025-12-03,22:34:00,R110,I0850,Swiggy,Delivered,4.0,139,40,55.6,83.4,40,123.4,2025,12,December,2,Wednesday,No,22,Dinner,Spring Rolls,Chinese,Starter,Veg,100-150
O000057,C00435,10,Student,North Indian,2025-02-02,09:53:00,R117,I0896,Swiggy,Cancelled,,277,5,13.85,263.15,20,283.15,2025,2,February,6,Sunday,Yes,9,Breakfast,Butter Chicken,North Indian,Main Course,Non-Veg,250-300
O000058,C00972,1,Family,South Indian,2025-03-13,12:53:00,R011,I0079,Zomato,Cancelled,,83,20,16.6,66.4,25,91.4,2025,3,March,3,Thursday,No,12,Lunch,Idli Sambar,South Indian,Main Course,Veg,Below 100
O000059,C00228,7,Student,Pizza,2025-01-17,08:50:00,R093,I0716,Swiggy,Delivered,5.0,249,10,24.9,224.1,20,244.1,2025,1,January,4,Friday,No,8,Breakfast,Margherita Pizza,Pizza,Main Course,Veg,200-250
O000060,C01599,8,Family,Biryani,2025-04-29,13:51:00,R108,I0831,Swiggy,Delivered,4.0,188,30,56.4,131.6,25,156.6,2025,4,April,1,Tuesday,No,13,Lunch,Paneer Biryani,Biryani,Main Course,Veg,150-200
O000061,C01914,2,Young Professional,Cafe,2025-05-22,14:06:00,R061,I0472,Swiggy,Delivered,2.0,171,40,68.4,102.6,25,127.6,2025,5,May,3,Thursday,No,14,Lunch,Egg Biryani,Biryani,Main Course,Non-Veg,100-150
O000062,C01334,4,Student,North Indian,2025-04-10,13:53:00,R014,I0100,Zomato,Delivered,5.0,270,0,0.0,270.0,25,295.0,2025,4,April,3,Thursday,No,13,Lunch,Paneer Pizza,Pizza,Main Course,Veg,250-300
O000063,C04137,7,Family,Burgers,2025-10-30,21:28:00,R107,I0826,Swiggy,Delivered,4.0,171,25,42.75,128.25,35,163.25,2025,10,October,3,Thursday,No,21,Dinner,Chocolate Mousse,Desserts,Dessert,Veg,150-200
O000064,C01756,1,Student,Burgers,2025-05-11,14:10:00,R017,I0127,Zomato,Delivered,4.0,65,20,13.0,52.0,25,77.0,2025,5,May,6,Sunday,Yes,14,Lunch,Masala Tea,Cafe,Beverage,Veg,Below 100
O000065,C01376,10,Student,Chinese,2025-04-13,13:29:00,R121,I0931,Swiggy,Delivered,5.0,306,5,15.3,290.7,25,315.7,2025,4,April,6,Sunday,Yes,13,Lunch,Farmhouse Pizza,Pizza,Main Course,Veg,300+
O000066,C02694,7,Young Professional,Chinese,2025-07-18,18:17:00,R005,I0033,Zomato,Delivered,5.0,199,0,0.0,199.0,30,229.0,2025,7,July,4,Friday,No,18,Evening,Cheesecake,Desserts,Dessert,Veg,200-250
O000067,C00690,2,Young Professional,Cafe,2025-02-21,11:56:00,R017,I0126,Zomato,Delivered,5.0,110,20,22.0,88.0,20,108.0,2025,2,February,4,Friday,No,11,Breakfast,Cappuccino,Cafe,Beverage,Veg,100-150
O000068,C04004,2,Working Professional,Biryani,2025-10-20,21:45:00,R040,I0317,Zomato,Delivered,3.0,192,15,28.8,163.2,35,198.2,2025,10,October,0,Monday,No,21,Dinner,Tandoori Momos,Momos,Main Course,Veg,150-200
O000069,C00367,8,Young Professional,Pizza,2025-01-28,09:15:00,R081,I0622,Swiggy,Delivered,4.0,238,0,0.0,238.0,20,258.0,2025,1,January,1,Tuesday,No,9,Breakfast,Margherita Pizza,Pizza,Main Course,Veg,250-300
O000070,C04936,4,Student,Momos,2025-12-27,23:05:00,R143,I1107,Direct,Delivered,4.0,371,25,92.75,278.25,40,318.25,2025,12,December,5,Saturday,Yes,23,Dinner,Cheese Burst Pizza,Pizza,Main Course,Veg,300+
O000071,C03849,8,Student,Chinese,2025-10-09,21:01:00,R018,I0138,Zomato,Delivered,4.0,156,30,46.8,109.2,35,144.2,2025,10,October,3,Thursday,No,21,Dinner,Garlic Bread,Pizza,Side,Veg,100-150
O000072,C00988,5,Family,South Indian,2025-03-14,12:54:00,R025,I0191,Zomato,Delivered,4.0,220,30,66.0,154.0,25,179.0,2025,3,March,4,Friday,No,12,Lunch,Chicken Salad Bowl,Healthy,Healthy,Non-Veg,150-200
O000073,C00031,9,Family,North Indian,2025-01-03,07:42:00,R044,I0340,Zomato,Delivered,5.0,257,20,51.4,205.6,20,225.6,2025,1,January,4,Friday,No,7,Breakfast,Butter Chicken,North Indian,Main Course,Non-Veg,200-250
O000074,C04068,10,Student,Desserts,2025-10-25,21:42:00,R121,I0935,Swiggy,Delivered,4.0,127,5,6.35,120.65,35,155.65,2025,10,October,5,Saturday,Yes,21,Dinner,Garlic Bread,Pizza,Side,Veg,150-200
O000075,C03505,5,Young Professional,Chinese,2025-09-15,20:57:00,R074,I0574,Swiggy,Failed,,199,15,29.85,169.15,35,204.15,2025,9,September,0,Monday,No,20,Dinner,Chilli Chicken,Chinese,Starter,Non-Veg,200-250
O000076,C03624,5,Family,Desserts,2025-09-24,20:09:00,R056,I0436,Zomato,Delivered,4.0,369,25,92.25,276.75,35,311.75,2025,9,September,2,Wednesday,No,20,Dinner,Pepperoni Pizza,Pizza,Main Course,Non-Veg,300+
O000077,C03846,10,Student,Biryani,2025-10-09,21:03:00,R079,I0612,Swiggy,Failed,,169,30,50.7,118.3,35,153.3,2025,10,October,3,Thursday,No,21,Dinner,Cheese Sandwich,Cafe,Snack,Veg,150-200
O000078,C00365,5,Family,Desserts,2025-01-27,09:48:00,R045,I0350,Zomato,Delivered,5.0,137,15,20.55,116.45,20,136.45,2025,1,January,0,Monday,No,9,Breakfast,Masala Dosa,South Indian,Main Course,Veg,100-150
O000079,C01765,5,Working Professional,Pizza,2025-05-11,14:09:00,R069,I0532,Zomato,Delivered,4.0,142,10,14.2,127.8,25,152.8,2025,5,May,6,Sunday,Yes,14,Lunch,Veg Fried Rice,Chinese,Main Course,Veg,150-200
O000080,C00554,1,Student,Chinese,2025-02-12,10:08:00,R066,I0506,Zomato,Delivered,4.0,262,30,78.6,183.4,20,203.4,2025,2,February,2,Wednesday,No,10,Breakfast,Butter Chicken,North Indian,Main Course,Non-Veg,200-250
O000081,C04315,5,Family,North Indian,2025-11-11,22:44:00,R113,I0873,Swiggy,Delivered,5.0,68,30,20.4,47.6,35,82.6,2025,11,November,1,Tuesday,No,22,Dinner,Filter Coffee,South Indian,Beverage,Veg,Below 100
O000082,C03088,6,Student,Burgers,2025-08-16,19:42:00,R139,I1071,Direct,Delivered,5.0,239,10,23.9,215.1,30,245.1,2025,8,August,5,Saturday,Yes,19,Dinner,Chicken Tikka,North Indian,Starter,Non-Veg,200-250
O000083,C01626,10,Student,Momos,2025-05-01,13:41:00,R107,I0823,Swiggy,Delivered,4.0,162,25,40.5,121.5,25,146.5,2025,5,May,3,Thursday,No,13,Lunch,Chocolate Cake,Desserts,Dessert,Veg,100-150
O000084,C00309,7,Working Professional,North Indian,2025-01-24,09:23:00,R066,I0506,Zomato,Failed,,262,30,78.6,183.4,20,203.4,2025,1,January,4,Friday,No,9,Breakfast,Butter Chicken,North Indian,Main Course,Non-Veg,200-250
O000085,C01522,1,Working Professional,Momos,2025-04-24,13:04:00,R078,I0602,Swiggy,Delivered,4.0,155,40,62.0,93.0,25,118.0,2025,4,April,3,Thursday,No,13,Lunch,Paneer Momos,Momos,Main Course,Veg,100-150
O000086,C01598,9,Young Professional,Momos,2025-04-29,13:34:00,R025,I0191,Zomato,Cancelled,,220,30,66.0,154.0,25,179.0,2025,4,April,1,Tuesday,No,13,Lunch,Chicken Salad Bowl,Healthy,Healthy,Non-Veg,150-200
O000087,C03628,3,Family,Chinese,2025-09-24,20:03:00,R111,I0856,Swiggy,Delivered,5.0,220,30,66.0,154.0,35,189.0,2025,9,September,2,Wednesday,No,20,Dinner,Chilli Chicken,Chinese,Starter,Non-Veg,150-200
O000088,C03160,5,Working Professional,Pizza,2025-08-21,19:34:00,R093,I0720,Swiggy,Delivered,5.0,397,10,39.7,357.3,30,387.3,2025,8,August,3,Thursday,No,19,Dinner,Pepperoni Pizza,Pizza,Main Course,Non-Veg,300+
O000089,C04441,8,Family,Burgers,2025-11-20,22:41:00,R131,I1013,Direct,Delivered,5.0,121,30,36.3,84.7,35,119.7,2025,11,November,3,Thursday,No,22,Dinner,Uttapam,South Indian,Main Course,Veg,100-150
O000090,C02331,10,Family,Pizza,2025-06-22,16:55:00,R044,I0344,Zomato,Delivered,3.0,199,20,39.8,159.2,30,189.2,2025,6,June,6,Sunday,Yes,16,Evening,Kadhai Paneer,North Indian,Main Course,Veg,150-200
O000091,C00574,8,Working Professional,South Indian,2025-02-13,10:12:00,R100,I0769,Swiggy,Delivered,5.0,217,25,54.25,162.75,20,182.75,2025,2,February,3,Thursday,No,10,Breakfast,Paneer Butter Masala,North Indian,Main Course,Veg,150-200
O000092,C03539,1,Student,Chinese,2025-09-18,20:36:00,R111,I0856,Swiggy,Delivered,5.0,220,30,66.0,154.0,35,189.0,2025,9,September,3,Thursday,No,20,Dinner,Chilli Chicken,Chinese,Starter,Non-Veg,150-200
O000093,C03787,8,Student,Biryani,2025-10-05,21:31:00,R049,I0383,Zomato,Delivered,3.0,217,40,86.8,130.2,35,165.2,2025,10,October,6,Sunday,Yes,21,Dinner,Chilli Chicken,Chinese,Starter,Non-Veg,150-200
O000094,C02788,3,Working Professional,Chinese,2025-07-24,18:44:00,R110,I0847,Swiggy,Delivered,4.0,201,40,80.4,120.6,30,150.6,2025,7,July,3,Thursday,No,18,Evening,Chilli Paneer,Chinese,Starter,Veg,150-200
O000095,C03843,4,Working Professional,North Indian,2025-10-09,21:58:00,R140,I1083,Direct,Failed,,78,15,11.7,66.3,35,101.3,2025,10,October,3,Thursday,No,21,Dinner,Garlic Naan,North Indian,Bread,Veg,100-150
O000096,C02444,5,Family,Biryani,2025-06-29,17:55:00,R137,I1056,Direct,Delivered,3.0,229,40,91.6,137.4,30,167.4,2025,6,June,6,Sunday,Yes,17,Evening,Chilli Chicken,Chinese,Starter,Non-Veg,150-200
O000097,C02583,4,Working Professional,Biryani,2025-07-10,17:00:00,R108,I0832,Swiggy,Delivered,4.0,157,30,47.1,109.9,30,139.9,2025,7,July,3,Thursday,No,17,Evening,Veg Biryani,Biryani,Main Course,Veg,100-150
O000098,C02112,10,Student,Chinese,2025-06-06,15:56:00,R015,I0108,Zomato,Delivered,3.0,151,25,37.75,113.25,30,143.25,2025,6,June,4,Friday,No,15,Lunch,Chole Bhature,North Indian,Main Course,Veg,100-150
O000099,C00128,5,Working Professional,Healthy,2025-01-10,07:10:00,R122,I0937,Swiggy,Delivered,5.0,180,0,0.0,180.0,20,200.0,2025,1,January,4,Friday,No,7,Breakfast,Veg Salad Bowl,Healthy,Healthy,Veg,150-200
O000100,C00519,3,Student,Pizza,2025-02-09,10:25:00,R093,I0717,Swiggy,Delivered,5.0,353,10,35.3,317.7,20,337.7,2025,2,February,6,Sunday,Yes,10,Breakfast,Farmhouse Pizza,Pizza,Main Course,Veg,300+
O000101,C00160,8,Young Professional,Healthy,2025-01-12,08:02:00,R046,I0357,Zomato,Delivered,4.0,179,10,17.9,161.1,20,181.1,2025,1,January,6,Sunday,Yes,8,Breakfast,Veg Salad Bowl,Healthy,Healthy,Veg,150-200
O000102,C03155,9,Student,Pizza,2025-08-21,19:48:00,R037,I0294,Zomato,Delivered,4.0,251,10,25.1,225.9,30,255.9,2025,8,August,3,Thursday,No,19,Dinner,Double Chicken Burger,Burgers,Main Course,Non-Veg,250-300
O000103,C01544,5,Young Professional,Pizza,2025-04-25,13:50:00,R020,I0149,Zomato,Delivered,4.0,143,15,21.45,121.55,25,146.55,2025,4,April,4,Friday,No,13,Lunch,Veg Fried Rice,Chinese,Main Course,Veg,100-150
O000104,C02512,7,Working Professional,Chinese,2025-07-05,17:12:00,R005,I0033,Zomato,Delivered,5.0,199,0,0.0,199.0,30,229.0,2025,7,July,5,Saturday,Yes,17,Evening,Cheesecake,Desserts,Dessert,Veg,200-250
O000105,C04547,4,Working Professional,Biryani,2025-11-28,22:31:00,R114,I0881,Swiggy,Delivered,4.0,292,0,0.0,292.0,40,332.0,2025,11,November,4,Friday,No,22,Dinner,Biryani Combo,Biryani,Combo,Non-Veg,300+
O000106,C01220,10,Student,Burgers,2025-04-01,13:47:00,R037,I0291,Zomato,Delivered,5.0,156,10,15.6,140.4,25,165.4,2025,4,April,1,Tuesday,No,13,Lunch,Paneer Burger,Burgers,Main Course,Veg,150-200
O000107,C02030,5,Working Professional,Momos,2025-05-30,14:49:00,R004,I0025,Zomato,Delivered,4.0,224,30,67.2,156.8,30,186.8,2025,5,May,4,Friday,No,14,Lunch,Paneer Bowl,Healthy,Healthy,Veg,150-200
O000108,C03761,10,Family,Cafe,2025-10-03,20:22:00,R067,I0521,Zomato,Delivered,5.0,192,40,76.8,115.2,35,150.2,2025,10,October,4,Friday,No,20,Dinner,Protein Smoothie,Healthy,Beverage,Veg,150-200
O000109,C01123,3,Student,Pizza,2025-03-25,12:57:00,R064,I0493,Swiggy,Delivered,3.0,325,0,0.0,325.0,25,350.0,2025,3,March,1,Tuesday,No,12,Lunch,Farmhouse Pizza,Pizza,Main Course,Veg,300+
O000110,C00382,8,Working Professional,Cafe,2025-01-29,09:51:00,R018,I0133,Zomato,Delivered,4.0,215,30,64.5,150.5,20,170.5,2025,1,January,2,Wednesday,No,9,Breakfast,Margherita Pizza,Pizza,Main Course,Veg,150-200
O000111,C01423,9,Family,North Indian,2025-04-16,13:22:00,R016,I0117,Zomato,Delivered,3.0,165,25,41.25,123.75,25,148.75,2025,4,April,2,Wednesday,No,13,Lunch,Dal Makhani,North Indian,Main Course,Veg,100-150
O000112,C00794,3,Young Professional,Momos,2025-02-28,11:50:00,R032,I0248,Zomato,Delivered,3.0,194,15,29.1,164.9,25,189.9,2025,2,February,4,Friday,No,11,Breakfast,Paneer Burger,Burgers,Main Course,Veg,150-200
