customer_id,locality_id,customer_segment,age_group,preferred_cuisine,order_frequency,order_weight,order_probability
C00270,5,Working Professional,26-35,Chinese,Occasional,1,0.00011160714285714285
C00271,4,Working Professional,56+,Pizza,Regular,2,0.0002232142857142857
C00272,8,Working Professional,26-35,North Indian,Regular,2,0.0002232142857142857
C00273,8,Family,18-25,South Indian,Frequent,4,0.0004464285714285714
C00274,7,Student,36-45,Pizza,Frequent,4,0.0004464285714285714
C00275,3,Student,36-45,Pizza,Regular,2,0.0002232142857142857
C00276,1,Student,18-25,Biryani,Regular,2,0.0002232142857142857
C00277,1,Student,18-25,Biryani,Regular,2,0.0002232142857142857
C00278,3,Working Professional,36-45,Pizza,Regular,2,0.0002232142857142857
C00279,6,Student,56+,South Indian,Regular,2,0.0002232142857142857
C00280,7,Young Professional,26-35,Cafe,Regular,2,0.0002232142857142857
C00281,6,Student,18-25,Burgers,Frequent,4,0.0004464285714285714
C00282,6,Student,56+,Momos,Occasional,1,0.00011160714285714285
C00283,6,Family,46-55,Cafe,Occasional,1,0.00011160714285714285
C00284,3,Student,26-35,Cafe,Occasional,1,0.00011160714285714285
C00285,6,Family,36-45,North Indian,Regular,2,0.0002232142857142857
C00286,8,Family,36-45,Desserts,Occasional,1,0.00011160714285714285
C00287,2,Student,46-55,Biryani,Occasional,1,0.00011160714285714285
C00288,5,Student,46-55,Cafe,Regular,2,0.0002232142857142857
C00289,1,Working Professional,26-35,Biryani,Occasional,1,0.00011160714285714285
C00290,1,Student,26-35,Momos,Regular,2,0.0002232142857142857
C00291,5,Student,26-35,Momos,Occasional,1,0.00011160714285714285
C00292,3,Student,26-35,North Indian,Occasional,1,0.00011160714285714285
C00293,4,Student,36-45,Momos,Regular,2,0.0002232142857142857
C00294,3,Working Professional,56+,Biryani,Occasional,1,0.00011160714285714285
C00295,1,Family,26-35,Pizza,Occasional,1,0.00011160714285714285
C00296,1,Working Professional,26-35,North Indian,Regular,2,0.0002232142857142857
C00297,5,Student,26-35,Cafe,Regular,2,0.0002232142857142857
C00298,6,Student,36-45,Cafe,Occasional,1,0.00011160714285714285
C00299,3,Young Professional,26-35,Momos,Regular,2,0.0002232142857142857
C00300,9,Working Professional,18-25,North Indian,Occasional,1,0.00011160714285714285
C00301,5,Young Professional,26-35,Burgers,Occasional,1,0.00011160714285714285
C00302,8,Working Professional,18-25,North Indian,Regular,2,0.0002232142857142857
C00303,1,Family,18-25,Chinese,Regular,2,0.0002232142857142857
C00304,5,Working Professional,36-45,Biryani,Regular,2,0.0002232142857142857
C00305,3,Working Professional,18-25,South Indian,Regular,2,0.0002232142857142857
C00306,1,Working Professional,26-35,Biryani,Frequent,4,0.0004464285714285714
C00307,4,Working Professional,18-25,Pizza,Regular,2,0.0002232142857142857
C00308,5,Student,18-25,Pizza,Occasional,1,0.00011160714285714285
C00309,7,Working Professional,36-45,North Indian,Regular,2,0.0002232142857142857
C00310,1,Family,26-35,Pizza,Occasional,1,0.00011160714285714285
C00311,3,Young Professional,46-55,Desserts,Occasional,1,0.00011160714285714285
C00312,2,Working Professional,26-35,Healthy,Occasional,1,0.00011160714285714285
C00313,9,Working Professional,18-25,Chinese,Occasional,1,0.00011160714285714285
C00314,10,Student,26-35,Momos,Frequent,4,0.0004464285714285714
C00315,6,Family,36-45,Chinese,Regular,2,0.0002232142857142857
C00316,10,Working Professional,26-35,Desserts,Regular,2,0.0002232142857142857
C00317,3,Young Professional,46-55,Chinese,Occasional,1,0.00011160714285714285
C00318,8,Working Professional,26-35,South Indian,Occasional,1,0.00011160714285714285
C00319,8,Working Professional,26-35,Chinese,Occasional,1,0.00011160714285714285
C00320,2,Family,36-45,North Indian,Occasional,1,0.00011160714285714285
C00321,6,Young Professional,46-55,Momos,Regular,2,0.0002232142857142857
C00322,7,Working Professional,26-35,Cafe,Regular,2,0.0002232142857142857
C00323,2,Working Professional,18-25,North Indian,Regular,2,0.0002232142857142857
C00324,10,Young Professional,26-35,Burgers,Occasional,1,0.00011160714285714285
C00325,2,Student,26-35,Biryani,Frequent,4,0.0004464285714285714
C00326,10,Young Professional,56+,Burgers,Regular,2,0.0002232142857142857
C00327,1,Student,26-35,South Indian,Regular,2,0.0002232142857142857
C00328,8,Family,18-25,South Indian,Regular,2,0.0002232142857142857
C00329,1,Family,56+,North Indian,Occasional,1,0.00011160714285714285
C00330,9,Working Professional,46-55,Healthy,Occasional,1,0.00011160714285714285
C00331,6,Young Professional,18-25,Momos,Occasional,1,0.00011160714285714285
C00332,7,Student,46-55,Burgers,Regular,2,0.0002232142857142857
C00333,10,Student,26-35,Burgers,Occasional,1,0.00011160714285714285
C00334,7,Working Professional,26-35,North Indian,Occasional,1,0.00011160714285714285
C00335,10,Working Professional,46-55,Biryani,Occasional,1,0.00011160714285714285
C00336,3,Family,26-35,Pizza,Occasional,1,0.00011160714285714285
C00337,2,Student,18-25,Burgers,Frequent,4,0.0004464285714285714
C00338,9,Student,26-35,Momos,Regular,2,0.0002232142857142857
C00339,8,Student,36-45,South Indian,Occasional,1,0.00011160714285714285
C00340,10,Student,18-25,Cafe,Occasional,1,0.00011160714285714285
C00341,7,Working Professional,26-35,Biryani,Occasional,1,0.00011160714285714285
C00342,9,Family,36-45,North Indian,Occasional,1,0.00011160714285714285
C00343,4,Young Professional,26-35,Chinese,Occasional,1,0.00011160714285714285
C00344,4,Young Professional,36-45,Pizza,Occasional,1,0.00011160714285714285
C00345,1,Student,46-55,Healthy,Occasional,1,0.00011160714285714285
C00346,8,Working Professional,26-35,Pizza,Regular,2,0.0002232142857142857
C00347,3,Student,26-35,Biryani,Regular,2,0.0002232142857142857
C00348,7,Student,18-25,Pizza,Occasional,1,0.00011160714285714285
C00349,2,Working Professional,26-35,Chinese,Occasional,1,0.00011160714285714285
C00350,2,Student,46-55,Chinese,Regular,2,0.0002232142857142857
C00351,7,Student,26-35,Biryani,Regular,2,0.0002232142857142857
C00352,6,Young Professional,26-35,Cafe,Frequent,4,0.0004464285714285714
C00353,3,Working Professional,26-35,Cafe,Regular,2,0.0002232142857142857
C00354,9,Working Professional,26-35,Chinese,Occasional,1,0.00011160714285714285
C00355,10,Student,18-25,Biryani,Occasional,1,0.00011160714285714285
C00356,6,Student,36-45,South Indian,Regular,2,0.0002232142857142857
C00357,10,Young Professional,18-25,Cafe,Occasional,1,0.00011160714285714285
C00358,10,Student,36-45,Cafe,Regular,2,0.0002232142857142857
C00359,6,Working Professional,26-35,North Indian,Frequent,4,0.0004464285714285714
C00360,1,Student,26-35,North Indian,Regular,2,0.0002232142857142857
C00361,4,Working Professional,18-25,Pizza,Occasional,1,0.00011160714285714285
C00362,10,Student,36-45,Cafe,Regular,2,0.0002232142857142857
C00363,6,Young Professional,18-25,Momos,Occasional,1,0.00011160714285714285
C00364,6,Young Professional,18-25,Desserts,Regular,2,0.0002232142857142857
C00365,5,Family,26-35,Desserts,Frequent,4,0.0004464285714285714
C00366,1,Student,36-45,Cafe,Occasional,1,0.00011160714285714285
C00367,8,Young Professional,18-25,Pizza,Frequent,4,0.0004464285714285714
C00368,5,Working Professional,18-25,South Indian,Frequent,4,0.0004464285714285714
C00369,5,Working Professional,36-45,Momos,Occasional,1,0.00011160714285714285
C00370,7,Family,36-45,Biryani,Occasional,1,0.00011160714285714285
C00371,4,Student,18-25,Momos,Occasional,1,0.00011160714285714285
C00372,6,Student,26-35,Cafe,Occasional,1,0.00011160714285714285
C00373,4,Family,26-35,Pizza,Occasional,1,0.00011160714285714285
C00374,3,Student,26-35,Biryani,Regular,2,0.0002232142857142857
C00375,7,Working Professional,46-55,Healthy,Occasional,1,0.00011160714285714285
C00376,8,Working Professional,18-25,Cafe,Occasional,1,0.00011160714285714285
C00377,4,Young Professional,36-45,Cafe,Regular,2,0.0002232142857142857
C00378,2,Young Professional,26-35,Biryani,Occasional,1,0.00011160714285714285
C00379,10,Young Professional,26-35,South Indian,Regular,2,0.0002232142857142857
C00380,3,Student,36-45,Burgers,Occasional,1,0.00011160714285714285
C00381,1,Student,46-55,Momos,Occasional,1,0.00011160714285714285
C00382,8,Working Professional,18-25,Cafe,Regular,2,0.0002232142857142857
C00383,3,Student,18-25,Biryani,Regular,2,0.0002232142857142857
C00384,10,Student,18-25,Chinese,Frequent,4,0.0004464285714285714
C00385,7,Working Professional,56+,North Indian,Regular,2,0.0002232142857142857
C00386,10,Working Professional,36-45,North Indian,Regular,2,0.0002232142857142857
