restaurant_id,locality_id,cuisine,rating,review_count,avg_order_value,avg_delivery_time_min,discount_pct,platform,estimated_monthly_orders
R092,1,Biryani,3.6,183,673,53,25,Zomato,1339
R093,5,Pizza,4.9,2155,495,31,10,Swiggy,1826
R094,10,Healthy,3.3,3677,195,54,30,Swiggy,1399
R095,7,South Indian,3.0,4830,695,54,0,Zomato,1041
R096,10,Healthy,4.5,1902,227,20,25,Swiggy,2052
R097,9,North Indian,4.5,4960,222,59,20,Swiggy,1546
R098,7,Healthy,3.7,4225,398,41,20,Direct,1589
R099,9,Pizza,3.9,2983,196,48,5,Zomato,1327
R100,8,North Indian,4.2,3334,270,27,25,Zomato,1993
R101,2,Healthy,3.1,4348,363,30,15,Zomato,1590
R102,1,Pizza,4.8,2861,388,60,25,Zomato,1550
R103,7,South Indian,4.7,1300,205,56,30,Zomato,1568
R104,7,Healthy,3.5,3562,499,33,0,Zomato,1410
R105,8,Pizza,3.0,1306,256,49,0,Swiggy,1004
R106,5,Biryani,4.8,3426,197,54,30,Swiggy,1753
R107,3,Desserts,4.0,3536,486,40,25,Zomato,1705
R108,8,Biryani,4.0,3634,175,56,30,Zomato,1569
R109,6,Desserts,4.3,1446,406,24,10,Swiggy,1758
R110,3,Chinese,4.2,3687,157,38,40,Swiggy,2003
R111,1,Chinese,4.8,3380,402,33,30,Swiggy,2071
R112,3,Chinese,4.8,2753,452,45,20,Swiggy,1734
R113,5,South Indian,4.6,520,205,23,30,Zomato,2045
R114,3,Biryani,4.2,1403,675,44,0,Swiggy,1352
R115,1,Desserts,4.5,2833,623,44,20,Zomato,1653
R116,5,Pizza,4.3,2881,177,37,0,Zomato,1519
R117,10,North Indian,4.1,407,227,59,5,Zomato,1104
R118,7,Pizza,3.2,3069,365,27,15,Zomato,1647
R119,7,North Indian,4.5,717,535,58,0,Swiggy,1153
R120,9,Burgers,4.6,4518,514,59,20,Zomato,1525
R121,10,Pizza,4.2,1195,675,33,5,Swiggy,1556
R122,10,Healthy,4.6,4235,461,51,0,Swiggy,1369
R123,3,Healthy,4.2,3769,156,57,10,Direct,1295
R124,7,Momos,3.4,2795,152,52,30,Swiggy,1456
R125,1,Biryani,3.5,589,512,42,15,Swiggy,1392
R126,4,North Indian,3.4,2829,657,34,0,Zomato,1401
R127,4,North Indian,3.7,4186,423,52,5,Swiggy,1287
R128,5,Biryani,3.1,4885,655,44,10,Zomato,1391
R129,7,South Indian,4.2,3825,164,36,25,Swiggy,1829
R130,7,Momos,3.6,2558,341,52,5,Direct,1186
R131,4,South Indian,4.2,2829,634,21,30,Zomato,2089
R132,7,South Indian,3.7,974,177,33,5,Zomato,1423
R133,3,South Indian,4.3,3006,188,59,10,Direct,1268
R134,6,Biryani,3.6,1631,422,59,5,Swiggy,1061
R135,2,South Indian,3.5,3374,380,58,10,Direct,1139
R136,10,Healthy,3.9,4535,235,25,0,Swiggy,1657
R137,9,Chinese,4.3,305,623,25,40,Zomato,2096
R138,5,Burgers,3.7,4854,275,22,10,Swiggy,1830
R139,6,North Indian,4.8,1888,686,26,10,Zomato,1892
R140,4,North Indian,3.1,1994,294,27,15,Swiggy,1600
R141,10,Burgers,3.8,59,674,34,10,Zomato,1466
R142,7,Biryani,4.8,2921,361,48,10,Zomato,1589
R143,9,Pizza,4.0,847,174,52,25,Direct,1438
R144,7,Biryani,3.8,1065,543,49,40,Swiggy,1659
R145,1,North Indian,4.1,1874,216,58,0,Zomato,1119
R146,1,North Indian,4.1,4519,382,46,30,Zomato,1777
R147,9,Burgers,4.4,3186,258,55,15,Swiggy,1435
R148,9,South Indian,3.2,2243,295,48,25,Swiggy,1374
R149,4,Biryani,3.5,273,260,57,20,Swiggy,1199
R150,9,Desserts,4.1,4998,377,52,40,Zomato,1772
